CWE,NVD_count,Avg_CVSS_V3,min_CVSS_V3,max_CVSS_V3,avg_CVSS_V3_severity,avg_CVSS_V3_exploitability,Sv_cwe,CWE_score
CWE-682,17,7.752941176470589,1.8,10.0,2.8823529411764706,2.905882352941176,0.72596843615495,0.2865193630606611
CWE-338,24,7.204166666666666,1.8,10.0,2.7916666666666665,3.3666666666666667,0.6590447154471545,0.37390302060396036
CWE-191,42,8.297619047619047,1.8,10.0,3.261904761904762,3.011904761904762,0.7923925667828108,0.8013837009890291
CWE-209,47,5.6553191489361705,1.8,10.0,2.2127659574468086,3.146808510638298,0.47016087182148425,0.5334829823332086
CWE-834,11,6.663636363636363,1.8,10.0,2.4545454545454546,3.0090909090909084,0.5931263858093127,0.14630645925242047
CWE-185,15,6.366666666666665,1.8,10.0,2.466666666666667,3.619999999999999,0.5569105691056909,0.19232234749579855
CWE-123,6,7.433333333333333,1.8,10.0,2.6666666666666665,1.4666666666666668,0.6869918699186992,0.0847301270249999
CWE-444,29,7.396551724137932,1.8,10.0,2.896551724137931,3.6275862068965528,0.6825063078216992,0.4713906418107444
CWE-441,4,6.075,1.8,10.0,2.25,2.125,0.5213414634146343,0.038579782689785465
CWE-290,35,6.582857142857144,1.8,10.0,2.6,3.122857142857143,0.583275261324042,0.4891800415643173
CWE-610,38,5.223684210526318,1.8,10.0,1.868421052631579,2.115789473684211,0.4175224646983315,0.38106391696690345
CWE-335,3,7.7,1.8,10.0,3.0,2.766666666666667,0.7195121951219513,0.03549640824479286
CWE-346,48,6.9375,1.8,10.0,2.625,3.0041666666666664,0.6265243902439025,0.726360294560025
CWE-917,65,8.823076923076922,1.8,10.0,3.1076923076923078,2.9446153846153846,0.8564727954971857,1.3521030811993067
CWE-407,2,7.0,1.8,10.0,2.5,3.3499999999999996,0.6341463414634148,0.015642484989230755
CWE-281,22,6.759090909090909,1.8,10.0,2.4545454545454546,2.672727272727272,0.6047671840354768,0.31327357831142116
CWE-494,10,7.470000000000001,1.8,10.0,2.9,2.2,0.6914634146341465,0.15350692480777797
CWE-922,23,4.826086956521739,1.8,10.0,1.9130434782608696,2.213043478260869,0.3690349946977731,0.20026566066480042
CWE-285,14,6.814285714285715,1.8,10.0,2.4285714285714284,2.857142857142857,0.6114982578397214,0.19608972254357127
CWE-294,21,7.333333333333332,1.8,10.0,2.8095238095238093,2.776190476190476,0.6747967479674796,0.3329041677195262
CWE-417,7,7.314285714285715,1.8,10.0,2.857142857142857,3.114285714285714,0.672473867595819,0.0995274594369737
CWE-310,46,7.076086956521739,1.8,10.0,2.652173913043478,2.7913043478260873,0.6434252386002122,0.7142115376667377
CWE-252,9,6.977777777777778,1.8,10.0,2.6666666666666665,3.3333333333333335,0.6314363143631437,0.12460509410224839
CWE-924,4,6.975,1.8,10.0,2.25,2.3499999999999996,0.6310975609756098,0.0467018422034245
CWE-193,14,8.407142857142857,1.8,10.0,3.142857142857143,3.278571428571428,0.8057491289198606,0.2583803324114008
CWE-642,1,8.6,1.8,10.0,3.0,3.9,0.8292682926829269,0.0
CWE-405,1,7.5,1.8,10.0,3.0,3.9,0.6951219512195123,0.0
CWE-662,4,8.0,1.8,10.0,3.25,3.05,0.7560975609756099,0.05595196553840231
CWE-273,5,7.38,1.8,10.0,2.8,2.2,0.6804878048780488,0.06714235864608277
CWE-670,5,7.359999999999999,1.8,10.0,2.6,3.2399999999999998,0.6780487804878049,0.06690170503086385
CWE-669,9,8.21111111111111,1.8,10.0,3.0,2.7777777777777777,0.7818428184281843,0.15428570664591698
CWE-121,1,8.8,1.8,10.0,3.0,2.8,0.8536585365853661,0.0
CWE-565,9,6.888888888888889,1.8,10.0,2.7777777777777777,3.4666666666666663,0.6205962059620598,0.12246595085585789
CWE-913,4,6.625,1.8,10.0,2.25,2.65,0.5884146341463415,0.04354326350367599
CWE-436,6,7.533333333333334,1.8,10.0,2.6666666666666665,2.9000000000000004,0.6991869918699188,0.08623421212011825
CWE-172,5,5.66,1.8,10.0,2.2,2.68,0.47073170731707326,0.0464461477372544
CWE-471,1,8.8,1.8,10.0,3.0,2.8,0.8536585365853661,0.0
CWE-707,2,7.5,1.8,10.0,3.0,3.9,0.6951219512195123,0.017146570084349094
CWE-19,48,7.539583333333333,1.8,10.0,2.8125,3.0583333333333336,0.6999491869918699,0.8114852439224934
CWE-122,1,8.8,1.8,10.0,3.0,2.8,0.8536585365853661,0.0
CWE-254,6,6.650000000000001,1.8,10.0,2.6666666666666665,3.3666666666666667,0.5914634146341465,0.07294812711323959
