,CWE,CVE,CVSS_V3_baseScore,CVSS_V3_exploitabilityScore,CVSS_V3_attackComplexity,CVSS_V3_privilegesRequired,CVSS_V3_userInteraction
10026,CWE-502,CVE-2018-20732,9.8,3.9,LOW,NONE,NONE
10027,CWE-611,CVE-2018-20733,7.5,3.9,LOW,NONE,NONE
10028,CWE-287,CVE-2018-20735,7.8,1.8,LOW,LOW,NONE
10029,CWE-79,CVE-2018-20736,5.4,2.3,LOW,LOW,REQUIRED
10030,CWE-79,CVE-2018-20737,5.4,2.3,LOW,LOW,REQUIRED
10031,CWE-787,CVE-2018-20742,7.5,3.9,LOW,NONE,NONE
10032,CWE-20,CVE-2018-20743,7.5,3.9,LOW,NONE,NONE
10033,CWE-346,CVE-2018-20744,5.9,2.2,HIGH,NONE,NONE
10034,CWE-346,CVE-2018-20745,5.9,2.2,HIGH,NONE,NONE
10035,CWE-787,CVE-2018-20748,9.8,3.9,LOW,NONE,NONE
10036,CWE-787,CVE-2018-20749,9.8,3.9,LOW,NONE,NONE
10037,CWE-787,CVE-2018-20750,9.8,3.9,LOW,NONE,NONE
10038,CWE-476,CVE-2018-20751,8.8,2.8,LOW,NONE,REQUIRED
10039,CWE-1236,CVE-2018-20752,9.8,3.9,LOW,NONE,NONE
10040,NVD-CWE-noinfo,CVE-2018-20753,9.8,3.9,LOW,NONE,NONE
10041,CWE-79,CVE-2018-20755,6.1,2.8,LOW,NONE,REQUIRED
10042,CWE-79,CVE-2018-20756,6.1,2.8,LOW,NONE,REQUIRED
10043,CWE-79,CVE-2018-20757,6.1,2.8,LOW,NONE,REQUIRED
10044,CWE-79,CVE-2018-20758,5.4,2.3,LOW,LOW,REQUIRED
10045,CWE-787,CVE-2018-20760,7.8,1.8,LOW,NONE,REQUIRED
10046,CWE-119,CVE-2018-20761,7.8,1.8,LOW,NONE,REQUIRED
10047,CWE-119,CVE-2018-20762,7.8,1.8,LOW,NONE,REQUIRED
10048,CWE-787,CVE-2018-20763,7.8,1.8,LOW,NONE,REQUIRED
10049,NVD-CWE-noinfo,CVE-2018-20764,9.8,3.9,LOW,NONE,NONE
10050,CWE-20,CVE-2018-20767,8.8,2.8,LOW,LOW,NONE
10051,CWE-94,CVE-2018-20768,9.8,3.9,LOW,NONE,NONE
10052,CWE-22,CVE-2018-20769,7.5,3.9,LOW,NONE,NONE
10053,CWE-89,CVE-2018-20770,9.8,3.9,LOW,NONE,NONE
10054,CWE-20,CVE-2018-20771,9.8,3.9,LOW,NONE,NONE
10055,CWE-94,CVE-2018-20772,7.2,1.2,LOW,HIGH,NONE
10056,CWE-94,CVE-2018-20773,7.2,1.2,LOW,HIGH,NONE
10057,CWE-79,CVE-2018-20774,5.4,2.3,LOW,LOW,REQUIRED
10058,CWE-94,CVE-2018-20775,7.2,1.2,LOW,HIGH,NONE
10059,CWE-200,CVE-2018-20776,7.5,3.9,LOW,NONE,NONE
10060,CWE-79,CVE-2018-20777,5.4,2.3,LOW,LOW,REQUIRED
10061,CWE-79,CVE-2018-20778,6.1,2.8,LOW,NONE,REQUIRED
10062,CWE-89,CVE-2018-20779,9.8,3.9,LOW,NONE,NONE
10063,CWE-352,CVE-2018-20780,8.8,2.8,LOW,NONE,REQUIRED
10064,CWE-522,CVE-2018-20781,7.8,1.8,LOW,LOW,NONE
10065,CWE-20,CVE-2018-20782,7.5,3.9,LOW,NONE,NONE
10066,CWE-125,CVE-2018-20783,7.5,3.9,LOW,NONE,NONE
10067,CWE-835,CVE-2018-20784,9.8,3.9,LOW,NONE,NONE
10068,NVD-CWE-noinfo,CVE-2018-20785,7.4,1.4,HIGH,NONE,NONE
10069,CWE-476,CVE-2018-20786,7.5,3.9,LOW,NONE,NONE
10070,CWE-190,CVE-2018-20787,5.5,1.8,LOW,NONE,REQUIRED
10071,CWE-190,CVE-2018-20788,5.5,1.8,LOW,NONE,REQUIRED
10072,CWE-22,CVE-2018-20789,7.5,3.9,LOW,NONE,NONE
10073,CWE-22,CVE-2018-20790,7.5,3.9,LOW,NONE,NONE
10074,CWE-79,CVE-2018-20791,6.1,2.8,LOW,NONE,REQUIRED
10075,CWE-22,CVE-2018-20792,7.5,3.9,LOW,NONE,NONE
10076,CWE-22,CVE-2018-20793,7.5,3.9,LOW,NONE,NONE
10077,CWE-22,CVE-2018-20794,7.5,3.9,LOW,NONE,NONE
10078,CWE-22,CVE-2018-20795,7.5,3.9,LOW,NONE,NONE
10079,CWE-674,CVE-2018-20796,7.5,3.9,LOW,NONE,NONE
10080,CWE-119,CVE-2018-20797,6.5,2.8,LOW,NONE,REQUIRED
10081,CWE-732,CVE-2018-20798,7.5,3.9,LOW,NONE,NONE
10082,NVD-CWE-noinfo,CVE-2018-20799,7.5,3.9,LOW,NONE,NONE
10083,CWE-20,CVE-2018-20800,6.5,2.8,LOW,LOW,NONE
10084,CWE-185,CVE-2018-20801,7.5,3.9,LOW,NONE,NONE
10085,NVD-CWE-Other,CVE-2018-20802,6.5,2.8,LOW,LOW,NONE
10086,CWE-835,CVE-2018-20803,6.5,2.8,LOW,LOW,NONE
10087,CWE-20,CVE-2018-20804,6.5,2.8,LOW,LOW,NONE
10088,CWE-834,CVE-2018-20805,6.5,2.8,LOW,LOW,NONE
10089,CWE-79,CVE-2018-20806,6.1,2.8,LOW,NONE,REQUIRED
10090,CWE-79,CVE-2018-20807,6.1,2.8,LOW,NONE,REQUIRED
10091,CWE-79,CVE-2018-20808,6.1,2.8,LOW,NONE,REQUIRED
10092,CWE-20,CVE-2018-20809,7.5,3.9,LOW,NONE,NONE
10093,CWE-326,CVE-2018-20810,9.8,3.9,LOW,NONE,NONE
10094,CWE-200,CVE-2018-20811,5.3,3.9,LOW,NONE,NONE
10095,CWE-200,CVE-2018-20812,7.5,3.9,LOW,NONE,NONE
10096,CWE-20,CVE-2018-20813,9.8,3.9,LOW,NONE,NONE
10097,CWE-79,CVE-2018-20814,6.1,2.8,LOW,NONE,REQUIRED
10098,CWE-119,CVE-2018-20815,9.8,3.9,LOW,NONE,NONE
10099,CWE-79,CVE-2018-20816,6.1,2.8,LOW,NONE,REQUIRED
10100,CWE-352,CVE-2018-20816,6.1,2.8,LOW,NONE,REQUIRED
10101,CWE-119,CVE-2018-20817,9.8,3.9,LOW,NONE,NONE
10102,CWE-119,CVE-2018-20818,9.8,3.9,LOW,NONE,NONE
10103,CWE-787,CVE-2018-20819,7.8,1.8,LOW,NONE,REQUIRED
10104,CWE-190,CVE-2018-20820,5.5,1.8,LOW,NONE,REQUIRED
10105,CWE-674,CVE-2018-20821,6.5,2.8,LOW,NONE,REQUIRED
10106,CWE-674,CVE-2018-20822,6.5,2.8,LOW,NONE,REQUIRED
10107,CWE-20,CVE-2018-20823,7.5,3.9,LOW,NONE,NONE
10108,CWE-79,CVE-2018-20824,6.1,2.8,LOW,NONE,REQUIRED
10109,CWE-285,CVE-2018-20826,4.3,2.8,LOW,LOW,NONE
10110,CWE-79,CVE-2018-20827,5.4,2.3,LOW,LOW,REQUIRED
10111,CWE-59,CVE-2018-20834,7.5,3.9,LOW,NONE,NONE
10112,CWE-20,CVE-2018-20835,7.5,3.9,LOW,NONE,NONE
10113,CWE-362,CVE-2018-20836,8.1,2.2,HIGH,NONE,NONE
10114,CWE-416,CVE-2018-20836,8.1,2.2,HIGH,NONE,NONE
10115,CWE-79,CVE-2018-20837,4.8,1.7,LOW,HIGH,REQUIRED
10116,CWE-79,CVE-2018-20838,5.4,2.3,LOW,LOW,REQUIRED
10117,CWE-200,CVE-2018-20839,9.8,3.9,LOW,NONE,NONE
10118,CWE-754,CVE-2018-20840,8.6,3.9,LOW,NONE,NONE
10119,CWE-78,CVE-2018-20841,9.8,3.9,LOW,NONE,NONE
10120,CWE-611,CVE-2018-20843,7.5,3.9,LOW,NONE,NONE
10121,CWE-369,CVE-2018-20845,6.5,2.8,LOW,NONE,REQUIRED
10122,CWE-20,CVE-2018-20846,6.5,2.8,LOW,NONE,REQUIRED
10123,CWE-190,CVE-2018-20847,8.8,2.8,LOW,NONE,REQUIRED
10124,CWE-79,CVE-2018-20848,8.8,2.8,LOW,NONE,REQUIRED
10125,CWE-352,CVE-2018-20848,8.8,2.8,LOW,NONE,REQUIRED
10126,CWE-79,CVE-2018-20849,6.1,2.8,LOW,NONE,REQUIRED
10127,CWE-79,CVE-2018-20850,8.2,1.5,LOW,HIGH,NONE
10128,NVD-CWE-noinfo,CVE-2018-20851,8.8,2.8,LOW,LOW,NONE
10129,CWE-20,CVE-2018-20852,5.3,3.9,LOW,NONE,NONE
10130,NVD-CWE-noinfo,CVE-2018-20853,5.3,3.9,LOW,NONE,NONE
10131,CWE-125,CVE-2018-20854,7.8,1.8,LOW,LOW,NONE
10132,CWE-119,CVE-2018-20855,3.3,1.8,LOW,LOW,NONE
10133,CWE-416,CVE-2018-20856,7.8,1.8,LOW,LOW,NONE
10134,CWE-20,CVE-2018-20857,7.5,3.9,LOW,NONE,NONE
10135,CWE-79,CVE-2018-20858,6.1,2.8,LOW,NONE,REQUIRED
10136,CWE-79,CVE-2018-20859,6.1,2.8,LOW,NONE,REQUIRED
10137,CWE-20,CVE-2018-20860,6.5,2.8,LOW,NONE,REQUIRED
10138,CWE-20,CVE-2018-20861,6.5,2.8,LOW,NONE,REQUIRED
10139,NVD-CWE-noinfo,CVE-2018-20862,7.8,1.8,LOW,LOW,NONE
10140,CWE-20,CVE-2018-20863,9.8,3.9,LOW,NONE,NONE
10141,CWE-20,CVE-2018-20864,6.5,3.9,LOW,NONE,NONE
10142,CWE-79,CVE-2018-20865,6.1,2.8,LOW,NONE,REQUIRED
10143,CWE-79,CVE-2018-20866,6.1,2.8,LOW,NONE,REQUIRED
10144,CWE-601,CVE-2018-20867,6.1,2.8,LOW,NONE,REQUIRED
10145,CWE-79,CVE-2018-20868,6.1,2.8,LOW,NONE,REQUIRED
10146,CWE-20,CVE-2018-20869,7.8,1.8,LOW,LOW,NONE
10147,CWE-200,CVE-2018-20870,5.5,1.8,LOW,LOW,NONE
10148,CWE-732,CVE-2018-20871,9.8,3.9,LOW,NONE,NONE
10149,CWE-352,CVE-2018-20872,6.5,2.8,LOW,NONE,REQUIRED
10150,CWE-20,CVE-2018-20873,3.3,1.8,LOW,LOW,NONE
10151,CWE-79,CVE-2018-20874,5.4,2.3,LOW,LOW,REQUIRED
10152,CWE-79,CVE-2018-20875,5.4,2.3,LOW,LOW,REQUIRED
10153,CWE-79,CVE-2018-20876,5.4,2.3,LOW,LOW,REQUIRED
10154,CWE-79,CVE-2018-20877,5.4,2.3,LOW,LOW,REQUIRED
10155,CWE-79,CVE-2018-20878,5.4,2.3,LOW,LOW,REQUIRED
10156,CWE-20,CVE-2018-20879,6.3,2.8,LOW,LOW,NONE
10157,NVD-CWE-noinfo,CVE-2018-20880,3.3,1.8,LOW,LOW,NONE
10158,CWE-79,CVE-2018-20881,5.4,2.3,LOW,LOW,REQUIRED
10159,CWE-20,CVE-2018-20882,6.8,1.3,LOW,LOW,REQUIRED
10160,CWE-20,CVE-2018-20883,6.5,2.8,LOW,LOW,NONE
10161,CWE-79,CVE-2018-20884,5.4,2.3,LOW,LOW,REQUIRED
10162,CWE-74,CVE-2018-20885,5.3,3.9,LOW,NONE,NONE
10163,CWE-922,CVE-2018-20886,5.3,1.8,LOW,LOW,NONE
10164,CWE-89,CVE-2018-20887,9.8,3.9,LOW,NONE,NONE
10165,CWE-287,CVE-2018-20888,5.5,1.8,LOW,LOW,NONE
10166,CWE-200,CVE-2018-20889,4.4,1.8,LOW,LOW,NONE
10167,CWE-284,CVE-2018-20890,4.3,2.8,LOW,LOW,NONE
10168,CWE-20,CVE-2018-20891,5.5,1.8,LOW,LOW,NONE
10169,NVD-CWE-noinfo,CVE-2018-20892,4.3,2.8,LOW,LOW,NONE
10170,CWE-20,CVE-2018-20893,2.3,0.8,LOW,HIGH,NONE
10171,CWE-200,CVE-2018-20894,3.3,1.8,LOW,LOW,NONE
10172,CWE-20,CVE-2018-20895,7.2,1.2,LOW,HIGH,NONE
10173,CWE-94,CVE-2018-20896,3.9,1.3,LOW,LOW,REQUIRED
10174,CWE-20,CVE-2018-20897,2.8,1.3,LOW,LOW,REQUIRED
10175,CWE-74,CVE-2018-20898,4.3,2.8,LOW,LOW,NONE
10176,CWE-79,CVE-2018-20899,6.1,2.8,LOW,NONE,REQUIRED
10177,CWE-79,CVE-2018-20900,6.1,2.8,LOW,NONE,REQUIRED
10178,CWE-79,CVE-2018-20901,6.1,2.8,LOW,NONE,REQUIRED
10179,CWE-200,CVE-2018-20902,5.5,1.8,LOW,LOW,NONE
10180,CWE-79,CVE-2018-20903,6.1,2.8,LOW,NONE,REQUIRED
10181,CWE-732,CVE-2018-20904,4.3,2.8,LOW,LOW,NONE
10182,CWE-732,CVE-2018-20905,5.4,2.8,LOW,LOW,NONE
10183,CWE-732,CVE-2018-20906,4.3,2.8,LOW,LOW,NONE
10184,CWE-732,CVE-2018-20907,4.3,2.8,LOW,LOW,NONE
10185,CWE-732,CVE-2018-20908,5.5,1.8,LOW,LOW,NONE
10186,CWE-732,CVE-2018-20909,7.1,1.8,LOW,LOW,NONE
10187,CWE-79,CVE-2018-20910,6.1,2.8,LOW,NONE,REQUIRED
10188,CWE-79,CVE-2018-20911,7.2,1.2,LOW,HIGH,NONE
10189,CWE-20,CVE-2018-20912,6.3,2.8,LOW,LOW,NONE
10190,CWE-200,CVE-2018-20913,4.9,1.2,LOW,HIGH,NONE
10191,CWE-74,CVE-2018-20914,7.3,2.1,LOW,LOW,REQUIRED
10192,CWE-79,CVE-2018-20915,5.4,2.3,LOW,LOW,REQUIRED
10193,CWE-79,CVE-2018-20916,5.4,2.3,LOW,LOW,REQUIRED
10194,CWE-20,CVE-2018-20917,5.5,1.8,LOW,LOW,NONE
10195,CWE-79,CVE-2018-20918,6.1,2.8,LOW,NONE,REQUIRED
10196,CWE-79,CVE-2018-20919,6.1,2.8,LOW,NONE,REQUIRED
10197,CWE-79,CVE-2018-20920,6.1,2.8,LOW,NONE,REQUIRED
10198,CWE-79,CVE-2018-20921,6.1,2.8,LOW,NONE,REQUIRED
10199,CWE-79,CVE-2018-20922,6.1,2.8,LOW,NONE,REQUIRED
10200,CWE-79,CVE-2018-20923,6.1,2.8,LOW,NONE,REQUIRED
10201,CWE-287,CVE-2018-20924,5.5,1.2,LOW,HIGH,NONE
10202,CWE-434,CVE-2018-20925,6.7,0.8,LOW,HIGH,NONE
10203,CWE-434,CVE-2018-20926,6.7,0.8,LOW,HIGH,NONE
10204,CWE-285,CVE-2018-20927,3.8,2.0,LOW,LOW,NONE
10205,CWE-79,CVE-2018-20928,6.1,2.8,LOW,NONE,REQUIRED
10206,CWE-601,CVE-2018-20929,6.1,2.8,LOW,NONE,REQUIRED
10207,CWE-284,CVE-2018-20930,6.5,3.9,LOW,NONE,NONE
10208,CWE-94,CVE-2018-20931,6.3,2.8,LOW,LOW,NONE
10209,CWE-538,CVE-2018-20932,2.7,1.2,LOW,HIGH,NONE
10210,CWE-79,CVE-2018-20933,5.4,2.3,LOW,LOW,REQUIRED
10211,CWE-358,CVE-2018-20934,6.5,3.9,LOW,NONE,NONE
10212,CWE-79,CVE-2018-20935,5.4,2.3,LOW,LOW,REQUIRED
10213,CWE-732,CVE-2018-20936,3.3,1.8,LOW,LOW,NONE
10214,CWE-287,CVE-2018-20937,4.3,2.8,LOW,LOW,NONE
10215,CWE-284,CVE-2018-20938,2.7,1.2,LOW,HIGH,NONE
10216,CWE-200,CVE-2018-20939,3.3,1.8,LOW,LOW,NONE
10217,CWE-362,CVE-2018-20940,3.3,1.8,LOW,LOW,NONE
10218,CWE-200,CVE-2018-20941,5.6,1.1,HIGH,LOW,NONE
10219,CWE-200,CVE-2018-20942,2.5,1.0,HIGH,LOW,NONE
10220,CWE-200,CVE-2018-20943,2.5,1.0,HIGH,LOW,NONE
10221,CWE-200,CVE-2018-20944,3.3,1.8,LOW,LOW,NONE
10222,CWE-285,CVE-2018-20945,5.7,2.1,LOW,LOW,REQUIRED
10223,CWE-200,CVE-2018-20946,3.3,1.8,LOW,LOW,NONE
10224,CWE-668,CVE-2018-20947,5.5,1.8,LOW,LOW,NONE
10225,CWE-79,CVE-2018-20948,6.1,2.8,LOW,NONE,REQUIRED
10226,CWE-79,CVE-2018-20949,6.1,2.8,LOW,NONE,REQUIRED
10227,CWE-79,CVE-2018-20950,6.1,2.8,LOW,NONE,REQUIRED
10228,CWE-79,CVE-2018-20951,6.1,2.8,LOW,NONE,REQUIRED
10229,CWE-200,CVE-2018-20952,6.5,2.8,LOW,LOW,NONE
10230,CWE-79,CVE-2018-20953,6.1,2.8,LOW,NONE,REQUIRED
10231,CWE-287,CVE-2018-20954,7.5,3.9,LOW,NONE,NONE
10232,CWE-798,CVE-2018-20955,9.8,3.9,LOW,NONE,NONE
10233,CWE-532,CVE-2018-20956,5.5,1.8,LOW,LOW,NONE
10234,CWE-284,CVE-2018-20957,8.8,2.8,LOW,NONE,NONE
10235,CWE-200,CVE-2018-20958,6.5,2.8,LOW,NONE,NONE
10236,NVD-CWE-noinfo,CVE-2018-20959,8.1,2.8,LOW,NONE,NONE
10237,NVD-CWE-noinfo,CVE-2018-20960,8.1,2.8,LOW,NONE,NONE
10238,CWE-415,CVE-2018-20961,9.8,3.9,LOW,NONE,NONE
10239,CWE-79,CVE-2018-20962,6.1,2.8,LOW,NONE,REQUIRED
10240,CWE-79,CVE-2018-20963,6.1,2.8,LOW,NONE,REQUIRED
10241,CWE-352,CVE-2018-20964,8.8,2.8,LOW,NONE,REQUIRED
10242,CWE-79,CVE-2018-20965,6.1,2.8,LOW,NONE,REQUIRED
10243,CWE-79,CVE-2018-20966,6.1,2.8,LOW,NONE,REQUIRED
10244,CWE-352,CVE-2018-20967,8.8,2.8,LOW,NONE,REQUIRED
10245,CWE-352,CVE-2018-20968,8.8,2.8,LOW,NONE,REQUIRED
10246,CWE-78,CVE-2018-20969,7.8,1.8,LOW,NONE,REQUIRED
10247,CWE-79,CVE-2018-20970,6.1,2.8,LOW,NONE,REQUIRED
10248,CWE-352,CVE-2018-20971,8.8,2.8,LOW,NONE,REQUIRED
10249,CWE-352,CVE-2018-20972,8.8,2.8,LOW,NONE,REQUIRED
10250,CWE-20,CVE-2018-20973,9.8,3.9,LOW,NONE,NONE
10251,CWE-352,CVE-2018-20974,8.8,2.8,LOW,NONE,REQUIRED
10252,CWE-79,CVE-2018-20975,6.1,2.8,LOW,NONE,REQUIRED
10253,CWE-416,CVE-2018-20976,7.8,1.8,LOW,LOW,NONE
10254,CWE-79,CVE-2018-20977,6.1,2.8,LOW,NONE,REQUIRED
10255,CWE-79,CVE-2018-20978,6.1,2.8,LOW,NONE,REQUIRED
10256,NVD-CWE-noinfo,CVE-2018-20979,9.8,3.9,LOW,NONE,NONE
10257,CWE-20,CVE-2018-20980,7.5,3.9,LOW,NONE,NONE
10258,CWE-20,CVE-2018-20981,9.1,3.9,LOW,NONE,NONE
10259,CWE-79,CVE-2018-20982,6.1,2.8,LOW,NONE,REQUIRED
10260,CWE-79,CVE-2018-20983,6.1,2.8,LOW,NONE,REQUIRED
10261,CWE-502,CVE-2018-20984,9.8,3.9,LOW,NONE,NONE
10262,CWE-20,CVE-2018-20985,9.8,3.9,LOW,NONE,NONE
10263,CWE-79,CVE-2018-20986,5.4,2.3,LOW,LOW,REQUIRED
10264,CWE-502,CVE-2018-20987,9.8,3.9,LOW,NONE,NONE
10265,CWE-94,CVE-2018-20988,7.5,3.9,LOW,NONE,NONE
10266,CWE-191,CVE-2018-20989,7.5,3.9,LOW,NONE,NONE
10267,CWE-59,CVE-2018-20990,7.5,3.9,LOW,NONE,NONE
10268,CWE-415,CVE-2018-20991,9.8,3.9,LOW,NONE,NONE
10269,CWE-908,CVE-2018-20992,6.5,2.8,LOW,NONE,REQUIRED
10270,CWE-674,CVE-2018-20993,7.5,3.9,LOW,NONE,NONE
10271,CWE-674,CVE-2018-20994,7.5,3.9,LOW,NONE,NONE
10272,CWE-119,CVE-2018-20995,9.8,3.9,LOW,NONE,NONE
10273,CWE-415,CVE-2018-20996,9.8,3.9,LOW,NONE,NONE
10274,CWE-416,CVE-2018-20997,9.8,3.9,LOW,NONE,NONE
10275,CWE-119,CVE-2018-20998,9.8,3.9,LOW,NONE,NONE
10276,CWE-682,CVE-2018-20999,7.5,3.9,LOW,NONE,NONE
10277,CWE-119,CVE-2018-21000,9.8,3.9,LOW,NONE,NONE
10278,CWE-79,CVE-2018-21001,6.1,2.8,LOW,NONE,REQUIRED
10279,CWE-352,CVE-2018-21002,8.8,2.8,LOW,NONE,REQUIRED
10280,CWE-89,CVE-2018-21003,9.8,3.9,LOW,NONE,NONE
10281,CWE-89,CVE-2018-21004,9.8,3.9,LOW,NONE,NONE
10282,CWE-94,CVE-2018-21005,9.8,3.9,LOW,NONE,NONE
10283,CWE-352,CVE-2018-21006,8.8,2.8,LOW,NONE,REQUIRED
10284,CWE-284,CVE-2018-21007,9.8,3.9,LOW,NONE,NONE
10285,CWE-416,CVE-2018-21008,5.5,1.8,LOW,LOW,NONE
10286,CWE-190,CVE-2018-21009,8.8,2.8,LOW,NONE,REQUIRED
10287,CWE-787,CVE-2018-21010,8.8,2.8,LOW,NONE,REQUIRED
10288,CWE-200,CVE-2018-21011,7.5,3.9,LOW,NONE,NONE
10289,CWE-79,CVE-2018-21012,6.1,2.8,LOW,NONE,REQUIRED
10290,CWE-269,CVE-2018-21013,9.8,3.9,LOW,NONE,NONE
10291,CWE-79,CVE-2018-21014,5.4,2.3,LOW,LOW,REQUIRED
10292,CWE-476,CVE-2018-21015,6.5,2.8,LOW,NONE,REQUIRED
10293,CWE-125,CVE-2018-21016,6.5,2.8,LOW,NONE,REQUIRED
10294,CWE-401,CVE-2018-21017,6.5,2.8,LOW,NONE,REQUIRED
10295,CWE-613,CVE-2018-21018,9.8,3.9,LOW,NONE,NONE
10296,CWE-200,CVE-2018-21019,7.5,3.9,LOW,NONE,NONE
10297,CWE-20,CVE-2018-21020,7.5,3.9,LOW,NONE,NONE
10298,CWE-89,CVE-2018-21021,8.8,2.8,LOW,LOW,NONE
10299,CWE-89,CVE-2018-21022,8.8,2.8,LOW,LOW,NONE
10300,CWE-94,CVE-2018-21023,8.8,2.8,LOW,LOW,NONE
10301,CWE-434,CVE-2018-21024,9.8,3.9,LOW,NONE,NONE
10302,CWE-269,CVE-2018-21025,9.8,3.9,LOW,NONE,NONE
10303,CWE-200,CVE-2018-21026,7.5,3.9,LOW,NONE,NONE
10304,CWE-119,CVE-2018-21027,9.8,3.9,LOW,NONE,NONE
10305,CWE-772,CVE-2018-21028,7.5,3.9,LOW,NONE,NONE
10306,CWE-295,CVE-2018-21029,9.8,3.9,LOW,NONE,NONE
10307,CWE-79,CVE-2018-21030,5.3,3.9,LOW,NONE,NONE
10308,CWE-863,CVE-2018-21030,5.3,3.9,LOW,NONE,NONE
10309,CWE-522,CVE-2018-21031,6.5,2.8,LOW,LOW,NONE
10310,CWE-209,CVE-2018-21032,4.3,2.8,LOW,LOW,NONE
10311,CWE-20,CVE-2018-21033,6.5,2.8,LOW,LOW,NONE
10312,CWE-200,CVE-2018-21034,6.5,2.8,LOW,LOW,NONE
10313,CWE-770,CVE-2018-21035,7.5,3.9,LOW,NONE,NONE
10314,CWE-20,CVE-2018-21036,7.5,3.9,LOW,NONE,NONE
10315,CWE-352,CVE-2018-21037,8.8,2.8,LOW,NONE,REQUIRED
10316,CWE-287,CVE-2018-21038,9.8,3.9,LOW,NONE,NONE
10317,CWE-863,CVE-2018-21039,7.5,3.9,LOW,NONE,NONE
10318,CWE-362,CVE-2018-21040,8.1,2.2,HIGH,NONE,NONE
10319,CWE-416,CVE-2018-21040,8.1,2.2,HIGH,NONE,NONE
10320,CWE-306,CVE-2018-21041,7.5,3.9,LOW,NONE,NONE
10321,CWE-862,CVE-2018-21042,9.8,3.9,LOW,NONE,NONE
10322,CWE-200,CVE-2018-21043,3.3,1.8,LOW,LOW,NONE
10323,CWE-120,CVE-2018-21044,9.8,3.9,LOW,NONE,NONE
10324,CWE-200,CVE-2018-21045,6.2,2.5,LOW,NONE,NONE
10325,CWE-862,CVE-2018-21046,2.4,0.9,LOW,NONE,NONE
10326,CWE-862,CVE-2018-21047,7.5,3.9,LOW,NONE,NONE
10327,CWE-200,CVE-2018-21048,6.2,2.5,LOW,NONE,NONE
10328,CWE-787,CVE-2018-21049,9.8,3.9,LOW,NONE,NONE
10329,CWE-120,CVE-2018-21050,9.8,3.9,LOW,NONE,NONE
10330,CWE-74,CVE-2018-21051,9.8,3.9,LOW,NONE,NONE
10331,CWE-119,CVE-2018-21052,9.8,3.9,LOW,NONE,NONE
10332,CWE-200,CVE-2018-21053,4.6,0.9,LOW,NONE,NONE
10333,CWE-190,CVE-2018-21054,9.8,3.9,LOW,NONE,NONE
10334,CWE-20,CVE-2018-21055,9.8,3.9,LOW,NONE,NONE
10335,CWE-200,CVE-2018-21056,4.6,0.9,LOW,NONE,NONE
10336,CWE-787,CVE-2018-21057,9.8,3.9,LOW,NONE,NONE
10337,CWE-327,CVE-2018-21058,9.8,3.9,LOW,NONE,NONE
10338,CWE-200,CVE-2018-21059,7.5,3.9,LOW,NONE,NONE
10339,CWE-200,CVE-2018-21060,7.5,3.9,LOW,NONE,NONE
10340,CWE-276,CVE-2018-21061,6.8,0.9,LOW,NONE,NONE
10341,CWE-287,CVE-2018-21062,4.6,0.9,LOW,NONE,NONE
10342,NVD-CWE-noinfo,CVE-2018-21063,9.8,3.9,LOW,NONE,NONE
10343,CWE-120,CVE-2018-21064,9.8,3.9,LOW,NONE,NONE
10344,CWE-191,CVE-2018-21065,9.8,3.9,LOW,NONE,NONE
10345,CWE-120,CVE-2018-21066,9.8,3.9,LOW,NONE,NONE
10346,CWE-200,CVE-2018-21067,5.3,3.9,LOW,NONE,NONE
10347,CWE-20,CVE-2018-21068,6.2,2.5,LOW,NONE,NONE
10348,CWE-200,CVE-2018-21069,7.5,3.9,LOW,NONE,NONE
10349,CWE-354,CVE-2018-21070,8.4,2.5,LOW,NONE,NONE
10350,CWE-200,CVE-2018-21071,7.3,3.9,LOW,NONE,NONE
10351,CWE-787,CVE-2018-21072,9.8,3.9,LOW,NONE,NONE
10352,CWE-125,CVE-2018-21072,9.8,3.9,LOW,NONE,NONE
10353,CWE-200,CVE-2018-21073,2.4,0.9,LOW,NONE,NONE
10354,CWE-200,CVE-2018-21074,3.3,1.8,LOW,LOW,NONE
10355,NVD-CWE-noinfo,CVE-2018-21075,9.8,3.9,LOW,NONE,NONE
10356,CWE-200,CVE-2018-21076,5.5,1.8,LOW,LOW,NONE
10357,CWE-200,CVE-2018-21077,2.4,0.9,LOW,NONE,NONE
10358,CWE-20,CVE-2018-21078,7.5,3.9,LOW,NONE,NONE
10359,CWE-401,CVE-2018-21079,7.5,3.9,LOW,NONE,NONE
10360,CWE-326,CVE-2018-21080,4.6,0.9,LOW,NONE,NONE
10361,CWE-732,CVE-2018-21081,9.1,3.9,LOW,NONE,NONE
10362,CWE-863,CVE-2018-21082,8.4,2.5,LOW,NONE,NONE
10363,CWE-200,CVE-2018-21083,7.5,3.9,LOW,NONE,NONE
10364,CWE-362,CVE-2018-21084,8.1,2.2,HIGH,NONE,NONE
10365,CWE-416,CVE-2018-21084,8.1,2.2,HIGH,NONE,NONE
10366,CWE-362,CVE-2018-21085,8.1,2.2,HIGH,NONE,NONE
10367,CWE-416,CVE-2018-21085,8.1,2.2,HIGH,NONE,NONE
10368,CWE-415,CVE-2018-21086,8.1,2.2,HIGH,NONE,NONE
10369,CWE-362,CVE-2018-21086,8.1,2.2,HIGH,NONE,NONE
